"Registration Authority Code","Country","Country Code","Jurisdiction (country or region)","International name of Register","Local name of Register","International name of organisation responsible for the Register","Local name of organisation responsible for the Register","Website","Comments"
"RA000376","Greece","GR","Greece","","","Athens Chamber of Commerce and Industry + Offcial Gazette","Εμπορικό και Βιομηχανικό Επιμελητήριο Αθηνών (ΕΒΕΑ) + ΕΘΝΙΚΟ ΤΥΠΟΓΡΑΦΕΙΟ","http://www.protodikeio-ath.gr/opencms_prot/opencms/ProtSite/",""
"RA000377","Greece","GR","Greece","","","Hellenic Capital Market Commission","Hellenic Capital Market Commission","http://www.hcmc.gr/en_US/web/portal/foreis",""
"RA000685","Greece","GR","Greece","General Commercial Registry (G.E.MI.)","","Union of Hellenic Chambers","","https://www.businessregistry.gr",""
"RA000378","Greenland","GL","Greenland","Central Business Register","Centrale Virksomhedsregister","Danish Business Authority","Erhvervsstyrelsen","https://danishbusinessauthority.dk/",""
"RA000655","Greenland","GL","Greenland","","","Tax Agency","Skattestyrelsen","http://aka.gl/da/Virksomhed/GER/Find-virksomhed/Find-juridisk-enhed",""
"RA000379","Grenada","GD","Grenada","","","Registrar of Companies and Intellectual Property (Supreme Courty Registry)","Registrar of Companies and Intellectual Property (Supreme Courty Registry)","http://www.gov.gd/departments/supreme_court_registry.html",""
"RA000884","Grenada","GD","Grenada","","","Grenada Authority for the Regulation of Financial Institutions (GARFIN)","Grenada Authority for the Regulation of Financial Institutions (GARFIN)","https://www.garfin.gd/","to be used as a Validation Authority for funds"
"RA000189","Guadeloupe","GP","Guadeloupe","Register of Companies (Sirene)","Sirene","National Institute of Statistics and Economic Studies","Institut National de la Statistique et des Études Économiques","http://sirene.fr/sirene/public/accueil?sirene_locale=en",""
"RA000192","Guadeloupe","GP","Guadeloupe","Register of Commerce and Companies","Registre du Commerce et des Sociétés","Infogreffe","Infogreffe","www.infogreffe.com",""
"RA000381","Guam","GU","Guam","Company Registry","","Department of Revenue and Taxation","","https://www.guamtax.com/",""
"RA000665","Guam","GU","Guam","EDGAR","EDGAR","Securities and Exchange Commission","Securities and Exchange Commission","https://www.sec.gov/edgar/searchedgar/webusers.htm",""
"RA000745","Guam","GU","Guam","Registry of federally insured credit unions","Registry of federally insured credit unions","National Credit Union Administration","National Credit Union Administration","https://mapping.ncua.gov/ResearchCreditUnion.aspx","to be used for federally insured credit unions, which are not in the regular business registers in the USA; also to be used for such entities in Guam"
"RA000382","Guatemala","GT","Guatemala","Commerce Register","Registro Mercantil General","Commerce Register of The Republic of Guatemala","Registro Mercantil General de la República de Guatemala","http://www.registromercantil.gob.gt",""
"RA000885","Guatemala","GT","Guatemala","","","","Superintendencia de Bancos","https://www.sib.gob.gt/web/sib/inicio","to be used as a Validation Authority for funds"
"RA000777","Guernsey","GG","Alderney","Company Registry","Company Registry","Alderney Court Office","Alderney Court Office","http://courtofalderney.gg/article/159208/Company-Registry",""
"RA000383","Guernsey","GG","Guernsey","Limited Companies Register","Limited Companies Register","Guernsey Registry","Guernsey Registry","http://www.guernseyregistry.com/",""
"RA000666","Guernsey","GG","Guernsey","Foundations Register","Foundations Register","Guernsey Registry","Guernsey Registry","http://www.guernseyregistry.com/",""
"RA000667","Guernsey","GG","Guernsey","Limited Partnerships Register","Limited Partnerships Register","Guernsey Registry","Guernsey Registry","http://www.guernseyregistry.com/",""
"RA000668","Guernsey","GG","Guernsey","Limited Liability Partnerships Register","Limited Liability Partnerships Register","Guernsey Registry","Guernsey Registry","http://www.guernseyregistry.com/",""
"RA000886","Guernsey","GG","Guernsey","","","Guernsey Financial Services Commission (GFSC)","Guernsey Financial Services Commission (GFSC)","https://www.gfsc.gg/","to be used as a Validation Authority for funds"
"RA000814","Guinea-Bissau","GW","Guinea-Bissau","","","Central Bank of West African States (BCEAO)","Banque Central des Etats de l'Afrique de l'Ouest (BCEAO)","https://www.bceao.int/index.php/en","to be used as a Validation Authority for funds"
"RA000384","Guinea","GN","Guinea","","","","Agence de promotion des investissements privés","http://apiguinee.gov.gn",""
"RA000887","Guinea","GN","Guinea","","","Central Bank of the Republic of Guinea","Banque Centrale de la République de Guinée","https://www.bcrg-guinee.org/","to be used as a Validation Authority for funds"
"RA000385","Guyana","GY","Demerara-Mahaica","Georgetown Chamber of Commerce & Industry","Georgetown Chamber of Commerce & Industry","","","http://gcci.gy/members-of-gcci/",""
"RA000888","Guyana","GY","Guyana","","","Guyana Securities Council","Guyana Securities Council","https://guyanasecuritiescouncil.com/","to be used as a Validation Authority for funds"
"RA000889","Guyana","GY","Guyana","","","Bank of Guyana","Bank of Guyana","https://bankofguyana.org.gy/bog/","to be used as a Validation Authority for funds"
"RA000386","Haiti","HT","Haiti","Commerce Register","Registre du Commerce","Ministry of Commerce and Industry","Ministère du Commerce et de l'Industrie","http://registre.mci.gouv.ht/",""
"RA000890","Haiti","HT","Haiti","","","Bank of the Republic of Haiti","Banque de la République d'Haïti","https://www.brh.ht/","to be used as a Validation Authority for funds"
"RA000891","Holy See (Vatican City State)","VA","Holy See (Vatican City State)","","","The Supervisory and Financial Information Authority","Autorità di Supervisione e Informazione Finanziaria (ASIF)","https://www.aif.va/ENG/Home.aspx","to be used as a Validation Authority for funds"
"RA000387","Honduras","HN","Honduras","","Registro Mercantil","Chamber of Commerce and Industry of Tegucigalpa","Cámara de Comercio y la Industria de Tegucigalpa","http://190.5.103.114/clienteremoto/rm_busquedas.aspx",""
"RA000892","Honduras","HN","Honduras","","","","Comisión Nacional de Bancos y Seguros","https://www.cnbs.gob.hn/","to be used as a Validation Authority for funds"
"RA000893","Honduras","HN","Honduras","","","Central Bank of Honduras","Banco Central de Honduras","https://www.bch.hn/","to be used as a Validation Authority for funds"
"RA000388","Hong Kong","HK","Hong Kong","Companies Registry","公司註冊處","Companies Registry","","www.cr.gov.hk",""
"RA000389","Hong Kong","HK","Hong Kong","","香港稅務局轄下的商業登記署","Business Registration Office of the Inland Revenue Department, The Government of the Hong Kong Special Administrative Region","","www.ird.gov.hk/eng/tax/bre.htm",""
"RA000390","Hong Kong","HK","Hong Kong","","","Securities and Futures Commission","Securities and Futures Commission","http://www.sfc.hk/web/EN/regulatory-functions/products/product-authorization/list-of-investment-products.html",""
"RA000894","Hong Kong","HK","Hong Kong","","","Mandatory Provident Fund Schemes Authority","","https://www.mpfa.org.hk/en","to be used as a Validation Authority for funds"
"RA000391","Hungary","HU","Hungary","National Company Register and Company Information System","Országos Cégnyilvántartó és Céginformációs Rendszer","National Company Register and Company Information System","Országos Cégnyilvántartó és Céginformációs Rendszer","http://www.e-cegjegyzek.hu/index.html",""
"RA000392","Hungary","HU","Hungary","Register of Financial Service Providers","Pénzügyi szolgáltatók nyilvántartása","Central Bank of Hungary","Magyar Nemzeti Bank","https://www.mnb.hu/en/supervision/licensing-and-institution-oversight/market-participants/search-of-market-participants",""
"RA000656","Hungary","HU","Hungary","Registry of civil society organisations","Civil szervezetek névjegyzéke","National Office for the Judiciary","Országos Bírósági Hivatal","http://www.birosag.hu/allampolgaroknak/civil-szervezetek/civil-szervezetek-nevjegyzeke-kereses",""
"RA000732","Hungary","HU","Hungary","Public Education Information System","köznevelés információs rendszerének","Education Office","Oktatási Hivatal","https://www.oktatas.hu/hivatali_ugyek","to be used for education institutes"
"RA000750","Hungary","HU","Hungary","National Lawyers Register","Országos Ügyvédi Nyilvántartás","Hungarian Bar Association","Magyar Ügyvédi Kamara","https://magyarugyvedikamara.hu/html/nyilvanos-kereso/","to be used for lawyers / law firms"
"RA000895","Hungary","HU","Hungary","Register of sole proprietors","Egyéni vállalkozók nyilvántartása","Ministry of Interior","Belügyminisztérium","https://www.nyilvantarto.hu/evny-lekerdezo/","to be used to verify information on sole proprietors"
"RA000896","Hungary","HU","Hungary","Register of commercial condominium business","Üzletszerű társasházkezelői tevékenységet végzők nyilvántartása","Land Administration","Földhivatal","https://oknyir.kh.gov.hu/Kereses/TarsashazKezelo","to be used to verify information on condominiums"
"RA000897","Hungary","HU","Hungary","Register of local governments and budgetary authorities","Törzskönyvi nyilvántartás adatai","State Treasury","Államkincstár","http://www.allamkincstar.gov.hu/hu/ext/torzskonyv/2/","to be used to verify information on local governments and budgetary authorities"
"RA000393","Iceland","IS","Iceland","Register of Enterprises","Fyrirtækjaskrá RSK","Directorate of Internal Revenu","","https://www.rsk.is/english",""
"RA000898","Iceland","IS","Iceland","List of supervised entities","Eftirlitsskyldir aðilar","Financial Supervisory Authority of the Central Bank","Fjármálaeftirlit Seðlabankans","https://en.fme.is/supervision/","to be used as a Validation Authority for funds"
"RA000394","India","IN","India","Companies Register","","Ministry of Corporate Affairs","","http://www.mca.gov.in/MCA21/",""
"RA000395","India","IN","India","Securities Commission","","Securities and Exchange Board of India (SEBI)","","http://www.sebi.gov.in/sebiweb/",""
"RA000396","India","IN","India","Housing Finance Company Regulator","","National Housing Bank (NHB)","","http://www.nhb.org.in/",""
"RA000397","India","IN","India","Tax Registry","Tax Information Network (TIN NSDL)","NSDL e-Governance Infrastructure Limited","NSDL e-Governance Infrastructure Limited","https://onlineservices.tin.egov-nsdl.com/etaxnew/tdsnontds.jsp#",""
"RA000398","India","IN","India","Bank Deposit Insurance Agency","","Deposit Insurance and Credit Guarantee Corporation (DICGC)","","https://www.dicgc.org.in/",""
"RA000399","India","IN","India","Government Gazette","","Directorate of Printing and Department of Publications - Gazette of India","","http://www.egazette.nic.in/",""
"RA000697","India","IN","India","Register of National Securities Depository Limited","Register of National Securities Depository Limited","National Securities Depository Limited","National Securities Depository Limited","www.nsdl.co.in","To be used for Mutual Fund/Mutual Fund Sub Schemes and Alternative Investment Fund / Alternative Investment Fund Sub Schemes"
"RA000708","India","IN","India","Distinctive Number Database","Distinctive Number Database","Central Depository Services Limited","Central Depository Services Limited","https://www.cdslindia.com/investors/searchDNR.aspx","To be used for Mutual Fund/Mutual Fund Sub Schemes and Alternative Investment Fund / Alternative Investment Fund Sub Schemes"
"RA000709","India","IN","India","Database of Importer Exporter Code (IEC)","Database of Importer Exporter Code (IEC)","Directorate General of Foreign Trade (DGFT) of the Ministry of Commerce and Industry","Directorate General of Foreign Trade (DGFT) of the Ministry of Commerce and Industry","www.dgft.gov.in","To be used for for Sole Proprietorships, Partnership firms, Trusts, Cooperative societies or multistate cooperative state societies, which are not be found in the regular business register."
"RA000713","India","IN","India","ICEGATE (Indian Customs Electronic Commerce/Electronic Data interchange (EC/EDI) Gateway)","ICEGATE (Indian Customs Electronic Commerce/Electronic Data interchange (EC/EDI) Gateway)","Central Board of Excise and Customs (CBEC), Department of Revenue, Ministry of Finance","Central Board of Excise and Customs (CBEC), Department of Revenue, Ministry of Finance","https://www.icegate.gov.in/EnqMod/",""
"RA000717","India","IN","India","NGO Directory (NGO-DARPAN)","NGO Directory (NGO-DARPAN)","National Institution for Transforming India (NITI Aayog)","National Institution for Transforming India (NITI Aayog)","https://ngodarpan.gov.in/index.php/search/","to be used for ngo's"
"RA000754","India","IN","India","GST Portal","GST Portal","Goods and Services Tax Network (Ministry of Finance)","Goods and Services Tax Network (Ministry of Finance)","https://www.gst.gov.in/",""
"RA000778","India","IN","India","Financial Agents","Financial Agents","Reserve Bank of India","Reserve Bank of India","https://www.rbi.org.in/commonperson/English/Scripts/BanksInIndia.aspx",""
"RA000900","India","IN","India","Udyam Registration","Udyam Registration","Ministry of Micro, Small Medium Enterprises","Ministry of Micro, Small Medium Enterprises","https://udyamregistration.gov.in/Udyam_Verify.aspx",""
"RA000901","India","IN","India","","","International Financial Services Centres Authority","","http://www.ifsca.gov.in/","to be used as a Validation Authority for funds"
"RA000902","India","IN","Madhya Pradesh","List of Registered Firms and Society","List of Registered Firms and Society","Registrar, Firms and Societies, Government of Madhya Pradesh","Registrar, Firms and Societies, Government of Madhya Pradesh","https://rfs.mponline.gov.in/Portal/Services/FirmsAndSociety/Homenew.aspx",""
"RA000903","India","IN","Telangana","Registration of Firms and Societies","","Registration and Stamps Department, Government of Telangana","","https://registration.telangana.gov.in/index.htm",""
"RA000400","Indonesia","ID","Indonesia","Company Directory","Direktori Perusahaan","Ministry of Trade","Kementerian Perdagangan","https://www.kemendag.go.id/en","new website address and name information added"
"RA000763","Indonesia","ID","Indonesia","Company Registry","","Directorate General for Legal Administrative Affairs, Ministry of Law and Human Rights","Direktorat Jenderal Administrasi Hukum Umum, Kementerian Hukum Dan Hak Asasi Manusia","https://ahu.go.id/profil-pt",""
"RA000904","Indonesia","ID","Indonesia","","","Financial Services Authority","Otoritas Jasa Keuangan (OJK)","https://www.ojk.go.id/en/Default.aspx","to be used as a Validation Authority for funds"
"RA000680","Iran","IR","Iran","Register for banks and credit institutions","","Central Bank of Iran","است†ايران†اسلامی†جمھوری†مرکزی†بانک","https://www.cbi.ir/simplelist/1462.aspx",""
"RA000905","Iran","IR","Iran","","","Securities and Exchange Organization","","http://en.seo.ir","to be used as a Validation Authority for funds"
"RA000401","Iraq","IQ","Iraq","","","Registrar of Companies","","http://tasjeel.mot.gov.iq/en/index.html",""
"RA000906","Iraq","IQ","Iraq","","","Iraqi Securities Commission (ISC)","","https://www.isc.gov.iq/index.php?lang=en","to be used as a Validation Authority for funds"
"RA000907","Iraq","IQ","Iraq","","","Central Bank of Iraq","","https://www.cbiraq.org/","to be used as a Validation Authority for funds"
"RA000402","Ireland","IE","Ireland","Companies Register","Companies Register","Companies Registration Office","Companies Registration Office","http://www.cro.ie/",""
"RA000403","Ireland","IE","Ireland","Registry of Friendly Societies","Registry of Friendly Societies","Companies Registration Office","Companies Registration Office","http://www.cro.ie/",""
"RA000404","Ireland","IE","Ireland","Registers for financial service providers and collective investment schemes","","Central Bank of Ireland","","registers.centralbank.ie",""
"RA000700","Ireland","IE","Ireland","Charities Register","Charities Register","Charities Regulator","Charities Regulator/An Rialálaí Carthanas","https://www.charitiesregulator.ie/",""
"RA000405","Isle of Man","IM","Isle of Man","Companies Registry","Companies Registry","Companies Registry","Companies Registry","http://www.gov.im/ded/companies/companiesregistry.xml",""
"RA000908","Isle of Man","IM","Isle of Man","","","Isle of Man Financial Services Authority","Isle of Man Financial Services Authority","https://www.iomfsa.im/","to be used as a Validation Authority for funds"
"RA000406","Israel","IL","Israel","","","Israeli Corporations Authority (Department of Justice)","","http://www.justice.gov.il/En/Units/IsraeliCorporations/Pages/default.aspx",""
"RA000909","Israel","IL","Israel","","","Israel Securities Authority","רשות ניירות ערך בישראל","https://www.isa.gov.il/sites/isaeng/Pages/default.aspx","to be used as a Validation Authority for funds"
"RA001045","Israel","IL","Israel","DataGov","","Government ICT Authority","","https://data.gov.il/organization/ministry_of_justice",""
"RA000407","Italy","IT","Italy","Business Register","Registro Delle Imprese","Infocamere","Infocamere (La Società di Informatica delle Camere di Commercio Italiana)","www.registroimprese.it",""
"RA000408","Italy","IT","Italy","List of collective investment schemes (UCITS)","Elenco degli organismi di investimento collettivo del risparmio (OICR)","Bank of Italy","Banca d’Italia","www.bancaditalia.it",""
"RA000409","Italy","IT","Italy","","","","Commissione di vigilanza sui fondi pensione","http://www.covip.it/",""
"RA000410","Italy","IT","Italy","","","The Italian Companies and Stock Exchange Commission","Commissione Nazionale per le Società e la Borsa (CONSOB)","http://www.consob.it/web/consob-and-its-activities/investment-firms",""
"RA000699","Italy","IT","Italy","Index of Public Administrations (IPA)","Indice delle Pubbliche Amministrazioni (IPA)","Agency for Digital Italy (AgID)","Agenzia per l’Italia Digitale (AgID)","http://www.indicepa.gov.it/","To be used for Italian Public Authorities (municipalities etc) and public service operators"
"RA000776","Italy","IT","Italy","Tax Register Information System","Anagrafe Tributaria","Revenue Agency","Agenzia delle Entrate","https://telematici.agenziaentrate.gov.it/VerificaCF/VerificaCfPnf.do",""
"RA000814","Ivory Coast","CI","Ivory Coast","","","Central Bank of West African States (BCEAO)","Banque Central des Etats de l'Afrique de l'Ouest (BCEAO)","https://www.bceao.int/index.php/en","to be used as a Validation Authority for funds"
"RA000411","Jamaica","JM","Jamaica","Companies Register","","Companies Office of Jamaica","","https://www.orcjamaica.com/",""
"RA000910","Jamaica","JM","Jamaica","","","Bank of Jamaica","Bank of Jamaica","https://boj.org.jm/","to be used as a Validation Authority for funds"
"RA000911","Jamaica","JM","Jamaica","","","Financial Services Commission (FSC)","Financial Services Commission (FSC)","http://www.fscjamaica.org/","to be used as a Validation Authority for funds"
"RA000412","Japan","JP","Japan","Companies Registration","登記","Legal Affairs Bureaus","法務局","http://www1.touki.or.jp/",""
"RA000413","Japan","JP","Japan","Register of funds","","Financial Services Agency","金融庁","https://www.fsa.go.jp/en/regulated/licensed/index.html",""
"RA000912","Japan","JP","Japan","","","Securities and Exchange Surveillance Commission","","http://www.fsa.go.jp/sesc/english/","to be used as a Validation Authority for funds"
"RA000414","Jersey","JE","Jersey","Company Registry","Company Registry","Jersey Financial Services Commission Companies Registry","Jersey Financial Services Commission Companies Registry","http://www.jerseyfsc.org/registry/",""
"RA000913","Jersey","JE","Jersey","Funds information","Funds information","Jersey Financial Services Commission","Jersey Financial Services Commission","https://www.jerseyfsc.org/industry/sectors/funds/","to be used as a Validation Authority for funds"
"RA000698","Jordan","JO","Amman","Business Directory","","Amman Chamber of Commerce","","http://www.ammanchamber.org.jo/default_en.aspx?lang=en","To be used for organizations in the Greater Amman Municipality registered at the Chamber of Commerce; given the amount of available data this source can be used for partial corroboration"
"RA000415","Jordan","JO","Jordan","","","Companies Control Department","","http://www.ccd.gov.jo/",""
"RA000914","Jordan","JO","Jordan","","","Jordan Securities Commission","","https://jsc.gov.jo/","to be used as a Validation Authority for funds"
"RA000416","Kazakhstan","KZ","Kazakhstan","National Register of Business Identification Codes","Бизнес-сәйкестендiру нөмiрлерiнiң ұлттық тiзiлiмi","Ministry of Justice of the Republic of Kazakhstan","","http://www.adilet.gov.kz/en/base",""
"RA000915","Kazakhstan","KZ","Kazakhstan","Depository of Financial Statements","ДЕПОЗИТАРИЙ ФИНАНСОВОЙ ОТЧЕТНОСТИ","Information and Accounting Center, Ministry of Finance","Информационно-учетный центр, МИНИСТЕРСТВО ФИНАНСОВ РЕСПУБЛИКИ КАЗАХСТАН","https://opi.dfo.kz/p/en/dfo-search/opi-search","to be used as a Validation Authority for funds"
"RA000916","Kazakhstan","KZ","Kazakhstan","","","State Revenue Committee of the Ministry of Finance","Мемлекеттік кірістер комитеті, Комитет государственных доходов Министерства финансов Республики Казахстан","https://kgd.gov.kz/en","to be used as a Validation Authority for funds"
"RA000917","Kazakhstan","KZ","Kazakhstan","","","The Agency of the Republic of Kazakhstan for Regulation and Development of Financial Market","","https://www.gov.kz/memleket/entities/ardfm?lang=en","to be used as a Validation Authority for funds"
"RA000918","Kazakhstan","KZ","Kazakhstan","","","National Bank of Kazakhstan","Қазақстан Ұлттық банкі","https://nationalbank.kz/en","to be used as a Validation Authority for funds"
"RA000919","Kazakhstan","KZ","Nur-Sultan (Astana)","","","Astana Financial Services Authority, Astana International Financial Centre (AIFC)","","https://afsa.aifc.kz/","to be used as a Validation Authority for funds"
"RA000417","Kenya","KE","Kenya","","","Registrar General Office of the Attorney General and Department of Justice","","https://www.statelaw.go.ke/",""
"RA000920","Kenya","KE","Kenya","","","Central Bank of Kenya","","https://www.centralbank.go.ke/","to be used as a Validation Authority for funds"
"RA000921","Kenya","KE","Kenya","","","Capital Markets Authority","","https://www.cma.or.ke/","to be used as a Validation Authority for funds"
"RA000418","Kiribati","KI","Kiribati","Companies Office","","Business and Companies Regulatory Division (Ministry of Commerce, Industry and Cooperatives)","","www.mcic.gov.ki",""
"RA000922","Kiribati","KI","Kiribati","","","Ministry of Finance & Economic Development","Ministry of Finance & Economic Development","https://www.mfed.gov.ki/","to be used as a Validation Authority for funds"
"RA000519","Kosovo","XK","Kosovo","Registry of Business Organizations and Trade Names","","Kosovo Business Registration Agency (KBRA)","Agjencia e Regjistrimit të Bizneseve të Kosovës (ARBK)","https://arbk.rks-gov.net/",""
"RA000925","Kosovo","XK","Kosovo","","","Central Bank of the Republic of Kosovo (CBK)","Banka Qendrore e Republikës së Kosovës (BQK)","https://bqk-kos.org/?lang=en","to be used as a Validation Authority for funds"
"RA000420","Kuwait","KW","Kuwait","","","Kuwait Chamber of Commerce and Industry (KCCI)","","http://www.kuwaitchamber.org.kw/echamber/website/index.jsp#",""
"RA000926","Kuwait","KW","Kuwait","","","Central Bank of Kuwait","","https://www.cbk.gov.kw/en","to be used as a Validation Authority for funds"
"RA000927","Kuwait","KW","Kuwait","","","Capital Market Authority (CMA)","","https://www.cma.gov.kw/en/web/cma/home","to be used as a Validation Authority for funds"
"RA000421","Kyrgyzstan","KG","Kyrgyzstan","United State Register of Legal Entities and Branches (Ministry of Justice of Kyrgyz Republic)","Юридикалык жактардын, филиалдардын (өкүлчүлүктөрдүн) бирдиктүү мамлекеттик реестри","","","http://minjust.gov.kg/?page_id=1009&lang=kg",""
"RA000928","Kyrgyzstan","KG","Kyrgyzstan","","","State Service for Regulation and Supervision of the Financial Market","Финансы рыногун жөнгө салуу жана көзөмөлдөө мамлекеттик кызматы","https://fsa.gov.kg/#/home","to be used as a Validation Authority for funds"
"RA000929","Kyrgyzstan","KG","Kyrgyzstan","","","National Bank of the Kyrgyz Republic","Кыргыз Республикасынын Улуттук банкынын","https://www.nbkr.kg/index.jsp?lang=ENG","to be used as a Validation Authority for funds"
"RA000422","Laos","LA","Laos","Enterprise Registration","","Ministry of Industry and Commerce","","http://www.moic.gov.la/",""
"RA000930","Laos","LA","Laos","","","Bank of the Lao P.D.R","","https://www.bol.gov.la/en/index","to be used as a Validation Authority for funds"
"RA000931","Laos","LA","Laos","","","Lao Securities Commission","","https://www.lsc.gov.la/EN/","to be used as a Validation Authority for funds"
"RA000423","Latvia","LV","Latvia","Commerce Register","","Register of Enterprises of the Republic of Latvia","Latvijas Republikas Uzņēmumu Reģistrs","www.ur.gov.lv",""
"RA000424","Latvia","LV","Latvia","Databases of enterprises","","Lursoft","","https://www.lursoft.lv/?l=en",""
"RA000932","Latvia","LV","Latvia","","","Financial and Capital Market Commission","Finanšu un Kapitāla Tirgus Komisija","https://www.fktk.lv/en/market/","to be used as a Validation Authority for funds"
"RA000425","Lebanon","LB","Lebanon","Commercial register","السجل التجاري","Ministry of Justice","وزارة العدل","http://cr.justice.gov.lb/search/res_list.aspx",""
"RA000729","Lebanon","LB","Lebanon","Directory","دليل","Office of the Minister of State for Administrative Reform (OMSAR)","مكتب وزير الدولة لشؤون التنمية الإدارية","http://www.dawlati.gov.lb/directory",""
"RA000933","Lebanon","LB","Lebanon","","","Capital Markets Authority","","https://www.cma.gov.lb/","to be used as a Validation Authority for funds"
"RA000426","Lesotho","LS","Lesotho","Company Register","","One Stop Business Facilitation Centre, Ministry of Trade and Industry","","http://www.obfc.org.ls/registry/default.php",""
"RA000934","Lesotho","LS","Lesotho","","","Central Bank of Lesotho","Banka e Kholo ea Lesotho","https://www.centralbank.org.ls/","to be used as a Validation Authority for funds"
"RA000427","Liberia","LR","Liberia","Liberia Business Registry","Liberia Business Registry","","","http://www.lbr.gov.lr/",""
"RA000935","Liberia","LR","Liberia","","","Central Bank of Liberia (CBL)","Central Bank of Liberia (CBL)","https://public.cbl.org.lr/","to be used as a Validation Authority for funds"
"RA000936","Libya","LY","Libya","","","Central Bank of Libya","","https://cbl.gov.ly/en/","to be used as a Validation Authority for funds"
"RA000937","Libya","LY","Libya","","","Libyan Capital Market Authority","","https://lcma.gov.ly/en/","to be used as a Validation Authority for funds"
"RA000428","Liechtenstein","LI","Liechtenstein","Commercial Register","Handelsregister","Office of Justice","Amt für Justiz","http://www.oera.li/hrweb/ger/firmensuche_afj.htm",""
"RA000429","Liechtenstein","LI","Liechtenstein","","","Financial Market Authority","Finanzmarktaufsicht","https://www.fma-li.li/en/",""
"RA000548","Liechtenstein","LI","Liechtenstein","UID-Register","In French: Registre IDE; in German: UID-Register; in Italian: Registro IDI","Federal Statistical Office","In French: Office fédéral de la statistique; in German: Bundesamt für Statistik; in Italian: Ufficio federale di statistica","https://www.uid.admin.ch/","Companies in Liechtenstein may also register in this Swiss UID register"
"RA000430","Lithuania","LT","Lithuania","Register of Legal Entities","Juridinių asmenų registras","State Enterprise Centre of Registers","Registru Centras","http://www.registrucentras.lt/jar/index_en.php",""
"RA000431","Lithuania","LT","Lithuania","","","Central Bank of the Republic of Lithuania","Lietuvos Bankas","http://www.lb.lt/markets_in_financial_instruments",""
"RA000432","Luxembourg","LU","Luxembourg","Trade and Company Register","Registre de Commerce et des Sociétés","Luxembourg Business Registers","Luxembourg Business Registers","www.lbr.lu",""
"RA000433","Luxembourg","LU","Luxembourg","CSSF - Supervised Entities","CSSF - Entités Surveillées","","Commission de Surveillance du Secteur Financier","http://www.cssf.lu/en/documentation/supervised-entities/",""
"RA000434","Luxembourg","LU","Luxembourg","","","Legilux - Official Journal","Legilux - Journal Officiel du Grand-Duché de Luxembourg","http://www.legilux.public.lu/",""
"RA000435","Luxembourg","LU","Luxembourg","Fundsquare Market Infrastructure","","Luxembourg Stock Exchange","","https://www.fundsquare.net/search",""
"RA000436","Macao","MO","Macao","","","Directorate of Justice Affairs Services","Direcção dos Serviços de Assuntos Justiça","https://www.dsaj.gov.mo/index_tc.aspx",""
"RA000938","Macao","MO","Macao","","","Monetary Authority of Macao","Autoridade Monetária de Macau","https://www.amcm.gov.mo/en","to be used as a Validation Authority for funds"
"RA000679","Madagascar","MG","Madagascar","National Register of Commerce and Companies","Registre National du Commerce et des Sociétés (RNCS)","Ministry of Justice","Ministère de la Justice","http://www.rcsmada.mg",""
"RA000939","Madagascar","MG","Madagascar","","","Central Bank of Madagascar","Banky Foiben'i Madagasikara","https://www.banky-foibe.mg/","to be used as a Validation Authority for funds"
"RA000438","Malawi","MW","Malawi","Registration of Businesses and Non Profit Making Entities","","Department of the Registrar General","","https://www.registrargeneral.gov.mw/","new name of organisation and new website address"
"RA000940","Malawi","MW","Malawi","","","Reserve Bank of Malawi","Reserve Bank of Malawi","https://www.rbm.mw/","to be used as a Validation Authority for funds"
"RA000941","Malaysia","MY","Labuan","Corporate Online Registry","Corporate Online Registry","Labuan Financial Services Authority","Labuan Financial Services Authority","https://www.lfsacoral.gov.my/",""
"RA000439","Malaysia","MY","Malaysia","Corporate Registry","","Companies Commission of Malaysia","Suruhanjaya Syarikat Malaysia (SSM)","https://www.ssm-einfo.my/index.php",""
"RA000942","Malaysia","MY","Malaysia","","","Securities Commission Malaysia","Suruhanjaya Sekuriti","https://www.sc.com.my/","to be used as a Validation Authority for funds"
"RA000441","Maldives","MV","Maldives","","","Ministry of Economic Development","","http://www.trade.gov.mv/",""
"RA000943","Maldives","MV","Maldives","","","Capital Market Development Authority","","https://www.cmda.gov.mv/","to be used as a Validation Authority for funds"
"RA000944","Maldives","MV","Maldives","","","The Maldives Monetary Authority","","https://www.mma.gov.mv/#/","to be used as a Validation Authority for funds"
"RA000442","Mali","ML","Mali","","","Investment Promotion Agency","Agence pour la Promotion des Investissements","http://www.apimali.gov.ml/index.php?page=api-guichet-unique",""
"RA000814","Mali","ML","Mali","","","Central Bank of West African States (BCEAO)","Banque Central des Etats de l'Afrique de l'Ouest (BCEAO)","https://www.bceao.int/index.php/en","to be used as a Validation Authority for funds"
"RA000443","Malta","MT","Malta","Registry of Companies","Registru tal-Kumpaniji ta'Malta","Malta Business Registry (MBR)","","https://mbr.mt/",""
"RA000945","Malta","MT","Malta","Financial Services Register","","Malta Financial Services Authority","","https://www.mfsa.mt/financial-services-register/","to be used as a Validation Authority for funds"
"RA000444","Marshall Islands","MH","Marshall Islands","","","Marshall Islands Maritime and Corporate Administrators","Marshall Islands Maritime and Corporate Administrators","https://www.register-iri.com/corporate/",""
"RA000946","Marshall Islands","MH","Marshall Islands","","","Ministry of Finance","","https://rmi-mof.com/","to be used as a Validation Authority for funds"
